ruleName,officialCategory,deprecated,baselineIncluded,currentMappingStatus,governanceAction,note
vue/html-end-tags,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/html-indent,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/html-quotes,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/html-self-closing,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/jsx-uses-vars,base,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/key-spacing,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/keyword-spacing,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/match-component-file-name,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/match-component-import-name,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/max-attributes-per-line,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/max-len,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/max-lines-per-block,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/multi-word-component-names,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/multiline-html-element-content-newline,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/multiline-ternary,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/mustache-interpolation-spacing,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/name-property-casing,-,false,false,none,defer,"outside vue3 baseline scope, keep deferred for now"
vue/new-line-between-multi-line-property,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/next-tick-style,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-arrow-functions-in-watch,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-async-in-computed-properties,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-bare-strings-in-template,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-boolean-default,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-child-content,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-computed-properties-in-data,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-confusing-v-for-v-if,-,false,false,none,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-console,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-constant-condition,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-custom-modifiers-on-v-model,vue2-essential,false,false,direct,exclude-vue2-legacy,"legacy vue2 rule, excluded from vue3 baseline"
vue/no-deprecated-data-object-declaration,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-destroyed-lifecycle,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-dollar-listeners-api,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-dollar-scopedslots-api,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-events-api,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-filter,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-functional-template,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-html-element-is,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-inline-template,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-model-definition,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-props-default-this,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-router-link-tag-prop,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-scope-attribute,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-slot-attribute,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-slot-scope-attribute,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-v-bind-sync,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-v-is,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-v-on-native-modifier,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-v-on-number-modifiers,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-deprecated-vue-config-keycodes,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-dupe-keys,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-dupe-v-else-if,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-duplicate-attr-inheritance,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-duplicate-attributes,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-empty-component-block,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-empty-pattern,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-export-in-script-setup,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-expose-after-await,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-extra-parens,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-irregular-whitespace,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-lifecycle-after-await,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-lone-template,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-loss-of-precision,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-multi-spaces,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-multiple-objects-in-class,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-multiple-slot-args,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-multiple-template-root,vue2-essential,false,false,direct,exclude-vue2-legacy,"legacy vue2 rule, excluded from vue3 baseline"
vue/no-mutating-props,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-parsing-error,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-potential-component-option-typo,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-ref-as-operand,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-ref-object-reactivity-loss,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-required-prop-with-default,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-reserved-component-names,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-reserved-keys,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-reserved-props,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-restricted-block,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-restricted-call-after-await,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-restricted-class,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-restricted-component-names,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-restricted-component-options,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-restricted-custom-event,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-restricted-html-elements,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-restricted-props,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-restricted-static-attribute,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-restricted-syntax,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-restricted-v-bind,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-restricted-v-on,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-root-v-if,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-setup-props-reactivity-loss,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-shared-component-data,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-side-effects-in-computed-properties,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-spaces-around-equal-signs-in-attribute,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-sparse-arrays,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-static-inline-styles,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-template-key,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-template-shadow,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-template-target-blank,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-textarea-mustache,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-this-in-before-route-enter,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-undef-components,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-undef-properties,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-unregistered-components,-,false,false,none,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-unsupported-features,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-unused-components,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-unused-emit-declarations,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-unused-properties,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-unused-refs,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-unused-vars,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-use-computed-property-like-method,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-use-v-else-with-v-for,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-use-v-if-with-v-for,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-useless-concat,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-useless-mustaches,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-useless-template-attributes,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-useless-v-bind,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-v-for-template-key,vue2-essential,true,false,none,exclude-deprecated,"deprecated (eslint-plugin-vue), excluded from vue3 baseline"
vue/no-v-for-template-key-on-child,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-v-html,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-v-model-argument,vue2-essential,true,false,none,exclude-deprecated,"deprecated (eslint-plugin-vue), excluded from vue3 baseline"
vue/no-v-text,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/no-v-text-v-html-on-component,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/no-watch-after-await,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/object-curly-newline,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/object-curly-spacing,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/object-property-newline,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/object-shorthand,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/one-component-per-file,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/operator-linebreak,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/order-in-components,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/padding-line-between-blocks,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/padding-line-between-tags,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/padding-lines-in-component-definition,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/prefer-define-options,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/prefer-import-from-vue,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/prefer-prop-type-boolean-first,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/prefer-separate-static-class,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/prefer-template,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/prefer-true-attribute-shorthand,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/prop-name-casing,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/quote-props,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/require-component-is,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/require-default-prop,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/require-direct-export,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/require-emit-validator,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/require-explicit-emits,vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/require-explicit-slots,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/require-expose,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/require-macro-variable-name,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/require-name-property,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/require-prop-comment,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/require-prop-type-constructor,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/require-prop-types,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/require-render-return,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/require-slots-as-functions,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/require-toggle-inside-transition,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/require-typed-object-prop,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/require-typed-ref,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/require-v-for-key,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/require-valid-default-prop,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/return-in-computed-property,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/return-in-emits-validator,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/script-indent,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/singleline-html-element-content-newline,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/sort-keys,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/space-in-parens,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/space-infix-ops,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/space-unary-ops,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/static-class-names-order,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/template-curly-spacing,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/this-in-template,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/use-v-on-exact,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/v-bind-style,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/v-for-delimiter-style,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/v-if-else-key,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/v-on-event-hyphenation,vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/v-on-handler-style,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/v-on-style,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/v-slot-style,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-attribute-name,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-define-emits,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-define-options,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-define-props,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-model-definition,vue2-essential,true,false,none,exclude-deprecated,"deprecated (eslint-plugin-vue), excluded from vue3 baseline"
vue/valid-next-tick,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-template-root,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-bind,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-bind-sync,vue2-essential,true,false,none,exclude-deprecated,"deprecated (eslint-plugin-vue), excluded from vue3 baseline"
vue/valid-v-cloak,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-else,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-else-if,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-for,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-html,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-if,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-is,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-memo,vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-model,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-on,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-once,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-pre,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-show,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-slot,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/valid-v-text,vue2-essential|vue3-essential,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
